

red flower|flower,crimson flower

queen's card|card,playing card,queens card

teacup|cup,tea

shrinking cake|cake,eat me,striped cake

enlargement mushroom|shroom,mushroom

pocket watch|watch,clock,timepiece

bloody scepter fragment|bloody scepter,scepter,bloody,fragment,scepter fragment,bloody fragment

mad hatter's hat|hat,mad hat,mad hatter's,mad hatters, mad hatters hat

cat flesh|flesh,cheshire flesh,cat flesh

rabbit sandwitch|rabbit meat,rabbit food,sandwitch

chess jerky|chess,chess meat, jerky

mystery meat|meat,mystery,unkown meat

edible grass|grass,greenery,herb,magical herb,meadow grass
